Year,Precip_00,Precip_01,Precip_02,Precip_03
851,513.9000677912018,391.1534625108423,370.9264476415046,756.2766949674126
852,395.6585025787291,422.76562642052636,772.4033894803482,935.7662839191206
853,285.8879113278705,857.3748923907667,654.3361476105222,872.0833120467199
854,239.1691864512644,377.6605303302401,305.98117683052857,809.3726424758377
855,710.8371521482418,638.927225109168,312.4693944000568,233.5421821050243
856,641.5548002445194,678.8685845829492,702.1375343148471,938.9477892437748
857,548.3292193206895,363.373265045117,546.0237636786559,566.3471338168915
858,486.8820549407049,791.6157911539192,539.7711688916519,322.2066855452781
859,510.5747142257128,585.6612456752985,449.6557825698874,386.727907222129
860,305.56943007963434,1160.0804206506905,360.8089783465673,210.842126294355
861,186.95901718626243,984.24407001626,426.9693966081833,594.2683642734269
862,718.9069115893171,468.6989084458849,395.9589154682102,474.5914899246603
863,860.990475980394,397.82033803927806,272.20068889196443,355.3029404825316
864,758.3325110786116,800.3367526851108,237.73472421604453,502.35210747778297
865,175.14121169984435,460.7702994439112,513.7317390031013,664.0129512318674
866,295.7944141092309,487.38906040305716,741.1279529541539,162.08855447184197
867,454.3495217710213,381.00119807295096,359.19045526462054,614.2871274132569
868,541.6304336422166,255.1256615072419,344.6927545860211,505.2086630556933
869,552.9564447795236,160.6843215964221,284.5152791394352,449.19339920542166
870,437.61116063548917,214.25545111918564,341.67973427766606,217.14965678738326
871,502.69040543864867,300.1464467197298,252.80052875937213,274.84437572832815
872,756.9494085452167,228.43495268920762,354.84861086390936,854.216942377355
873,589.2536716561725,393.0728717854148,261.19814623313914,595.999894795277
874,484.29317938683533,393.526788306038,706.0605445003397,457.9732174339064
875,316.61695951178814,980.2173572342365,843.654896933565,226.48317091172143
876,599.3121452783632,368.7020106277912,879.5046765369792,644.1768212250538
877,490.5299718344619,444.49990320366766,574.9357757110511,178.21265036202675
878,959.6655243016063,485.59995801757896,457.77533455316285,628.1582516421147
879,181.27083061607576,361.971660875266,441.4472212296102,459.839140102466
880,256.6382809194606,968.1323671858406,266.4994565848737,428.97147061137963
881,846.3741804557209,391.2196711547252,718.0321313732139,766.6921324982843
882,693.4500575217531,321.027501911908,226.94791190644696,140.23220625378323
883,415.60166298609613,402.26650665001915,522.2020220541809,413.1326113787465
884,450.3904221838881,444.96280315036887,368.59884211258367,481.72918815247834
885,191.00771897957787,510.2902453641681,105.29326710699402,600.103428671241
886,151.25401022881212,653.688933005009,370.77877084159,347.49898421081184
887,392.12249358768463,634.5212537966827,77.27717492744797,161.0806865503963
888,258.52228985592984,461.49450237868484,285.4094812005493,631.9554020592352
889,360.7337114399511,291.87204997973447,331.62613524837366,580.1536013175672
890,795.8055195207257,246.4487492301009,636.3499978380486,338.122011299287
891,849.6513870220441,665.1545227415228,808.7267383154434,406.27916550336573
892,574.6218850146113,744.6825916312378,382.4988327784069,419.76678563926566
